,Rede1,Rede2,Confirmação rede 1,Confirmação rede 2,Resultado
120,Folhas lineares,Mangueira,P,Y,Mangueira
121,nan,Mangueira,,Y,Árvore de outra espécie
122,nan,Palmeira,,Y,Palmeira
123,nan,Mangueira,,N,Árvore de outra espécie
124,Postes,Poste,PC,PC,Nenhuma identificação realizada
125,nan,nan,,,Nenhuma identificação realizada
126,nan,Mangueira,,P,Árvore de outra espécie
127,nan,nan,,,Nenhuma identificação realizada
128,nan,Poste,,PC,Nenhuma identificação realizada
129,Postes,Mangueira,PC,N,Mangueira
130,Postes,Mangueira,PC,N,Mangueira
131,nan,Amendoeira,,Y,Árvore de outra espécie
132,nan,Amendoeira,,Y,Árvore de outra espécie
133,nan,Poste,,PC,Nenhuma identificação realizada
134,Folhas arredondadas,Amendoeira,Y,P,Amendoeira
135,Folhas arredondadas,Palmeira,P,P,Nenhuma identificação realizada
136,Postes,Amendoeira,PC,P,Amendoeira
137,nan,Palmeira,,PM,Palmeira
138,Palmeira,Palmeira,Y,Y,Palmeira
139,nan,nan,,,Nenhuma identificação realizada
140,nan,Mangueira,,N,Árvore de outra espécie
141,Postes,Amendoeira,PC,P,Amendoeira
